Data do Pedido;Categoria Produto;Região;Quantidade Vedida;Preço Unitário;Desconto;Quantidade de Dias Entrega;Avaliação do Cliente;Metodo de Pagamento;Valor total venda;Valor total desconto aplicado;Data do Pedido Dia;Data do Pedido Mês;Data do Pedido Ano
2023-06-25 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;80,73;0,06;12;5;"Pix";75,8862;4,8438;"25";"06";"2023"
2024-10-12 00:00:00,000;"Saúde";"Sudeste";1;2,84;0,24;4;5;"Pix";2,1584;0,6816;"12";"10";"2024"
2017-11-27 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;251,28;0,05;5;5;"Pix";238,716;12,564;"27";"11";"2017"
2005-06-10 00:00:00,000;"Brinquedos";"Sudeste";1;330,6;0,15;21;5;"Pix";281,01;49,59;"10";"06";"2005"
2016-03-19 00:00:00,000;"Casa";"Sudeste";1;66,05;0,2;2;5;"Pix";52,839999999999996;13,21;"19";"03";"2016"
2018-04-23 00:00:00,000;"Grocery";"Sudeste";1;77,31;0,08;10;5;"Pix";71,1252;6,1848;"23";"04";"2018"
2025-12-25 00:00:00,000;"Brinquedos";"Sudeste";1;52,66;0,26;23;5;"Pix";38,968399999999995;13,6916;"25";"12";"2025"
2018-10-26 00:00:00,000;"Grocery";"Sudeste";1;182,71;0,04;11;5;"Pix";175,4016;7,3084000000000007;"26";"10";"2018"
2013-04-17 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;19,36;0,14;20;5;"Pix";16,6496;2,7104000000000004;"17";"04";"2013"
2023-06-18 00:00:00,000;"Livros";"Sudeste";1;192,1;0,17;14;5;"Pix";159,44299999999998;32,657000000000004;"18";"06";"2023"
2009-05-17 00:00:00,000;"Eletrônicos";"Sudeste";1;1057,14;0,17;3;5;"Pix";877,42620000000011;179,71380000000002;"17";"05";"2009"
2023-07-21 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;71,62;0,2;9;5;"Pix";57,296000000000006;14,324000000000002;"21";"07";"2023"
2021-01-22 00:00:00,000;"Eletrônicos";"Sudeste";1;214,33;0,09;6;5;"Pix";195,0403;19,2897;"22";"01";"2021"
2023-05-15 00:00:00,000;"Casa";"Sudeste";1;82,84;0,28;11;5;"Pix";59,644800000000004;23,195200000000003;"15";"05";"2023"
2016-11-12 00:00:00,000;"Eletrônicos";"Sudeste";1;7,43;0,16;13;5;"Pix";6,2411999999999992;1,1888;"12";"11";"2016"
2022-11-23 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;103,79;0,22;3;5;"Pix";80,95620000000001;22,8338;"23";"11";"2022"
2005-04-14 00:00:00,000;"Grocery";"Sudeste";1;6,45;0,22;10;5;"Pix";5,0310000000000006;1,419;"14";"04";"2005"
2015-07-04 00:00:00,000;"Esportes";"Sudeste";1;468,34;0,07;12;5;"Pix";435,5562;32,7838;"04";"07";"2015"
2009-01-27 00:00:00,000;"Grocery";"Sudeste";1;195,18;0,13;17;5;"Pix";169,8066;25,3734;"27";"01";"2009"
2010-08-01 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;11,39;0,08;10;5;"Pix";10,4788;0,9112;"01";"08";"2010"
2019-08-02 00:00:00,000;"Esportes";"Sudeste";1;13,38;0,28;4;5;"Pix";9,6336000000000013;3,7464000000000004;"02";"08";"2019"
2010-11-03 00:00:00,000;"Casa";"Sudeste";1;621,74;0,19;5;5;"Pix";503,6094;118,1306;"03";"11";"2010"
2022-09-24 00:00:00,000;"Livros";"Sudeste";1;302,33;0,19;14;5;"Pix";244,88729999999998;57,442699999999995;"24";"09";"2022"
2026-07-21 00:00:00,000;"Grocery";"Sudeste";1;2,4;0,07;6;5;"Pix";2,2319999999999998;0,168;"21";"07";"2026"
2022-12-01 00:00:00,000;"Esportes";"Sudeste";1;14,99;0,17;3;5;"Pix";12,4417;2,5483000000000002;"01";"12";"2022"
2006-08-24 00:00:00,000;"Pets";"Sudeste";1;79,3;0,26;7;5;"Pix";58,682;20,618;"24";"08";"2006"
2022-02-09 00:00:00,000;"Automotivo";"Sudeste";1;63,54;0,25;12;5;"Pix";47,655;15,885;"09";"02";"2022"
2022-09-13 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;8,24;0,2;4;5;"Pix";6,5920000000000005;1,6480000000000001;"13";"09";"2022"
2014-11-05 00:00:00,000;"Pets";"Sudeste";1;791,78;0,15;14;5;"Pix";673,01299999999992;118,767;"05";"11";"2014"
2024-03-17 00:00:00,000;"Roupas e Acessórios";"Sudeste";1;16,94;0,1;9;5;"Pix";15,246;1,6940000000000002;"17";"03";"2024"
2017-06-26 00:00:00,000;"Automotivo";"Sudeste";1;68,69;0,2;2;5;"Pix";54,952;13,738;"26";"06";"2017"
2009-06-19 00:00:00,000;"Brinquedos";"Sudeste";1;42,14;0,19;7;5;"Pix";34,1334;8,0066;"19";"06";"2009"
2010-05-27 00:00:00,000;"Mobília";"Sudeste";1;194,36;0,04;4;5;"Pix";186,5856;7,7744000000000009;"27";"05";"2010"
2019-05-08 00:00:00,000;"Eletrônicos";"Sudeste";1;92,14;0,29;20;5;"Pix";65,4194;26,720599999999997;"08";"05";"2019"
2017-04-01 00:00:00,000;"Beleza e Cosméticos";"Sudeste";1;2,96;0,09;2;5;"Pix";2,6936;0,26639999999999997;"01";"04";"2017"
