ID do PEDIDO;DATA DO PEDIDO;fk_tbclientes_id_cliente;CaTeGoRiA Produto;nm_regiao;qtd.;Preço Unitário (R$);dixconto;método-pagamento;dias_para_entrega;nr_estrelas_cliente
23122;06/11/2006;5200;Beleza e Cosméticos;Sudeste;1 qtd.;129.22;0.09;pix;24;3.3
11957;12/28/2015;1660;Roupas e Acessórios;Norte;2;446.96;0.15;pix;10;1.5
66328;06/10/2021;6809;Livros;Centro-Oeste;19;3.46;0.26;crédito;7;3.8
85903;8/23/2025;6207;Pets;Nordeste;26;44.42;0.08;pix;9;5.0
44266;1/26/2011;2376;Casa;Sul;13;18.55;0.11;boleto;15;4.5
30691;07/10/2024;5217;Eletrônicos;Sul;28;812.19;0.24;pix;3;2.3
94623;08/08/2025;2181;Brinquedos;Sudeste;10;16.29;0.19;boleto;11;3.8
20966;11/10/2014;3782;                                                  Roupas e Acessórios;Nordeste;2;242.35;0.22;boleto;20;3.3
108081;11/14/2018;3649;                                                   Roupas e Acessórios;Sudeste;27;30.48;0.19;pix;2;3.6
67791;10/05/2013;5568;Beleza e Cosméticos;Centro-Oeste;19;4.12;0.05;crédito;27;2.3
34870;12/10/2008;3726;Pets;Nordeste;10;12.07;0.18;pix;15;2.8
112130;4/28/2023;2928;Casa;Nordeste;5;2.38;0.11;pix;5;3.3
55480;05/05/2009;2660;Esportes;Nordeste;7;25.81;0.2;crédito;8;5.0
41038;7/15/2024;5276;Casa;Sul;22;51.59;0.08;débito;10;2.9
104541;04/09/2013;2559;Beleza e Cosméticos;Sudeste;15;460.12;0.04;pix;2;5.0
80661;11/28/2013;1559;Saúde;Norte;5;6.16;0.08;crédito;21;3.8
99980;6/13/2004;4441;Casa;Norte;1;47.24;0.05;pix;14;4.1
39772;10/15/2011;3051;                                                Roupas e Acessórios;Sudeste;16;176.82;0.19;boleto;9;3.6
101686;04/07/2021;2449;Saúde;Norte;23;12.95;0.18;crédito;17;2.8
72134;11/27/2011;3350;                                 Roupas e Acessórios;Nordeste;8;87.01;0.29;crédito;5;2.0
73381;7/29/2011;4000;Esportes;Sul;3;7.99;0.26;pix;13;4.7
50217;9/24/2008;1387;                                   Roupas e Acessórios;Sul;9;2.0;0.24;crédito;8;4.1
81177;10/07/2006;1429;Livros;Sudeste;11;4.87;0.17;boleto;7;3.4
10418;10/29/2006;1800;Eletrônicos;Sudeste;3;258.75;0.14;pix;9;4.9
89008;8/14/2025;6887;Eletrônicos;Nordeste;9;639.34;0.25;crédito;4;4.3
44249;7/13/2009;6071;Esportes;Sul;3;245.52;0.22;pix;2;4.3
80339;6/17/2012;3433;Livros;Nordeste;26;2.98;0.15;boleto;18;4.4
64822;7/30/2016;4978;Roupas e Acessórios;Centro-Oeste;11;10.32;0.28;crédito;4;5.0
79250;11/04/2008;5546;Eletrônicos;Sudeste;6;4.56;0.09;débito;6;2.7
80681;4/26/2004;2483;Beleza e Cosméticos;Sudeste;25;147.95;0.24;crédito;26;2.9
48071;9/21/2015;1993;Casa;Sudeste;13;454.46;0.08;pix;6;5.0
88477;8/31/2023;5186;Beleza e Cosméticos;Nordeste;7;171.77;0.3;débito;15;4.6
65158;9/25/2008;2657;Casa;Sudeste;22;830.35;0.23;pix;3;4.2
50959;08/03/2018;5659;Eletrônicos;Nordeste;3;5.18;0.27;crédito;21;2.8
14190;05/10/2024;1276;Beleza e Cosméticos;Sul;7;440.02;0.02;débito;4;2.3
52795;2/16/2013;2530;Eletrônicos;Sudeste;6;665.28;0.28;boleto;1;3.6
11726;9/20/2021;1578;Roupas e Acessórios;Sudeste;4;458.39;0.19;pix;11;1.6
91884;1/23/2007;1040;Eletrônicos;Sul;11;51.79;0.2;boleto;4;3.6
13059;11/05/2012;1580;Eletrônicos;Sul;7;515.54;0.13;pix;9;2.7
33938;1/24/2012;2811;Eletrônicos;Nordeste;27;13.1;0.21;pix;25;4.1
63647;10/23/2011;4968;Automotivo;Nordeste;20;482.35;0.2;débito;2;4.0
20953;08/09/2011;4912;Grocery;Centro-Oeste;23;22.31;0.05;pix;4;4.1
94533;5/27/2021;2804;Grocery;Centro-Oeste;10;6.96;0.23;débito;10;4.3
100533;9/24/2007;5819;Eletrônicos;Sudeste;3;14.88;0.23;débito;18;5.0
112388;7/20/2005;5503;Brinquedos;Centro-Oeste;14;205.09;0.29;crédito;7;4.2
52381;7/30/2019;1832;Livros;Sul;16;2.67;0.11;pix;9;3.2
83548;04/10/2004;2236;Pets;Nordeste;1;521.99;0.02;crédito;11;3.7
44826;06/11/2017;1236;Eletrônicos;Sudeste;3;171.45;0.07;débito;12;2.3
53472;6/19/2016;4462;Casa;Centro-Oeste;3;488.9;0.09;boleto;13;3.8
37890;8/28/2007;2064;Casa;Nordeste;5;140.74;0.17;pix;5;5.0
85853;9/14/2018;3422;Automotivo;Sudeste;19;90.47;0.07;débito;11;3.3
99940;9/17/2010;1710;Livros;Sul;1;43.71;0.27;pix;7;3.0
107397;01/03/2025;4561;Eletrônicos;Nordeste;4;7.15;0.03;pix;18;3.7
28395;8/28/2006;4105;Brinquedos;Norte;8;523.54;0.2;pix;8;1.1
24220;8/17/2015;3467;Casa;Sudeste;13;22.15;0.03;pix;5;5.0
95045;06/10/2021;3425;Brinquedos;Sudeste;15;27.58;0.03;débito;16;3.8
74621;09/03/2005;5195;Livros;Norte;4;11.52;0.19;boleto;3;3.8
77916;10/04/2012;3676;Grocery;Norte;1;4.65;0.11;boleto;19;2.8
107192;7/18/2025;4302;Eletrônicos;Sul;11;4.63;0.06;pix;15;3.0
99021;01/11/2013;4529;Pets;Sudeste;19;8.98;0.29;pix;1;1.8
65884;2/26/2009;3948;Livros;Sudeste;6;8.36;0.03;pix;26;4.4
101423;02/11/2009;1116;Mobília;Sudeste;2;395.14;0.17;pix;27;2.6
33368;11/27/2024;5929;Roupas e Acessórios;Norte;20;876.61;0.29;débito;7;2.9
42704;3/20/2015;6487;Mobília;Sul;14;3.17;0.27;pix;28;3.7
74990;09/10/2006;4925;Grocery;Sul;17;22.46;0.21;pix;3;3.0
49410;5/16/2008;5022;Mobília;Sudeste;20;349.3;0.11;crédito;10;3.7
42981;7/23/2008;2161;Pets;Nordeste;1;562.64;0.27;crédito;7;5.0
14445;09/10/2020;1282;Eletrônicos;Nordeste;3;147.18;0.27;pix;9;3.6
87277;10/04/2008;3112;Eletrônicos;Centro-Oeste;1;416.82;0.16;débito;24;2.2
54785;05/11/2010;1730;Eletrônicos;Norte;3;41.9;0.07;pix;23;4.2
113798;8/21/2014;4125;Esportes;Sudeste;26;2.43;0.25;crédito;6;5.0
38928;7/18/2010;5342;Pets;Nordeste;8;14.63;0.23;boleto;26;3.3
34488;6/14/2020;6804;Eletrônicos;Sudeste;4;68.72;0.22;boleto;1;3.2
28107;2/27/2022;6812;Livros;Sudeste;7;193.03;0.11;crédito;3;2.1
109024;2/27/2012;4051;Roupas e Acessórios;Nordeste;1;4.59;0.13;pix;15;3.8
