id_pedido;dt_pedido;id_cliente;nm_categoria_produto;nm_regiao;nr_quantidade;nr_preco_unitario;vl_desconto;nr_dias_para_entrega;nr_estrela_cliente;ds_metodo_pagamento
"26503";2023-06-25 00:00:00,000;"5309";"Beleza e Cosméticos";"Sudeste";1;80,73;0,06;12;5;"Pix"
"52659";2024-10-12 00:00:00,000;"2347";"Saúde";"Sudeste";1;2,84;0,24;4;5;"Pix"
"24954";2017-11-27 00:00:00,000;"3035";"Beleza e Cosméticos";"Sudeste";1;251,28;0,05;5;5;"Pix"
"85639";2005-06-10 00:00:00,000;"6906";"Brinquedos";"Sudeste";1;330,6;0,15;21;5;"Pix"
"108630";2016-03-19 00:00:00,000;"4060";"Casa";"Sudeste";1;66,05;0,2;2;5;"Pix"
"72035";2018-04-23 00:00:00,000;"4662";"Grocery";"Sudeste";1;77,31;0,08;10;5;"Pix"
"59616";2025-12-25 00:00:00,000;"1819";"Brinquedos";"Sudeste";1;52,66;0,26;23;5;"Pix"
"104779";2018-10-26 00:00:00,000;"5973";"Grocery";"Sudeste";1;182,71;0,04;11;5;"Pix"
"98332";2013-04-17 00:00:00,000;"2811";"Roupas e Acessórios";"Sudeste";1;19,36;0,14;20;5;"Pix"
"58116";2023-06-18 00:00:00,000;"6460";"Livros";"Sudeste";1;192,1;0,17;14;5;"Pix"
"98347";2009-05-17 00:00:00,000;"3685";"Eletrônicos";"Sudeste";1;1057,14;0,17;3;5;"Pix"
"99040";2023-07-21 00:00:00,000;"2309";"Beleza e Cosméticos";"Sudeste";1;71,62;0,2;9;5;"Pix"
"44250";2021-01-22 00:00:00,000;"6600";"Eletrônicos";"Sudeste";1;214,33;0,09;6;5;"Pix"
"112046";2023-05-15 00:00:00,000;"4049";"Casa";"Sudeste";1;82,84;0,28;11;5;"Pix"
"103486";2016-11-12 00:00:00,000;"2466";"Eletrônicos";"Sudeste";1;7,43;0,16;13;5;"Pix"
"114475";2022-11-23 00:00:00,000;"3870";"Beleza e Cosméticos";"Sudeste";1;103,79;0,22;3;5;"Pix"
"110762";2005-04-14 00:00:00,000;"5611";"Grocery";"Sudeste";1;6,45;0,22;10;5;"Pix"
"70237";2015-07-04 00:00:00,000;"1493";"Esportes";"Sudeste";1;468,34;0,07;12;5;"Pix"
"15451";2009-01-27 00:00:00,000;"2938";"Grocery";"Sudeste";1;195,18;0,13;17;5;"Pix"
"29634";2010-08-01 00:00:00,000;"1389";"Beleza e Cosméticos";"Sudeste";1;11,39;0,08;10;5;"Pix"
"96067";2019-08-02 00:00:00,000;"2797";"Esportes";"Sudeste";1;13,38;0,28;4;5;"Pix"
"15117";2010-11-03 00:00:00,000;"2924";"Casa";"Sudeste";1;621,74;0,19;5;5;"Pix"
"21031";2022-09-24 00:00:00,000;"4900";"Livros";"Sudeste";1;302,33;0,19;14;5;"Pix"
"94197";2026-07-21 00:00:00,000;"2778";"Grocery";"Sudeste";1;2,4;0,07;6;5;"Pix"
